Model,accuracy,precision,recall,f1,roc_auc,cv_accuracy
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9545454545454546,0.8250819672131149
Random Forest,0.9180327868852459,0.896551724137931,0.9285714285714286,0.9122807017543859,0.9545454545454546,0.8215846994535518
